Fe,Mn,Ni,Co,Cr,V,Al,SFE,VEC
0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,51.64953462,6.857142864
0.202865714,0.025391378,0.365390642,0.296459966,0.054368812,0.03207734,0.023446148,26.63179136,8.679649488
0.182712435,0.006847017,0.510895452,0.071239608,0.161000775,0.038694778,0.028609935,47.89687317,8.505047936
0.035201282,0.015630241,0.72472103,0.141415938,0.030501083,0.008102075,0.044428351,134.4017734,9.267777611
0.227772892,0.014223766,0.531015073,0.100751057,0.063309817,0.0124716,0.050455796,70.89705653,8.732244031
0.085646457,0.014145748,0.427234286,0.330437288,0.075738034,0.034579185,0.032219001,14.21169229,8.754451476
0.575419142,0.039981163,0.238784553,0.051484033,0.028441536,0.030001878,0.035887695,94.06671497,8.162744795
0.309460843,0.007125601,0.288810368,0.298589756,0.055338631,0.031063455,0.009611346,17.11697857,8.617160534
0.432579555,0.008088662,0.368856606,0.066830208,0.052774487,0.042640421,0.028230061,86.21437169,8.421834216
0.469955181,0.025624175,0.239586514,0.152835294,0.047606917,0.039406701,0.024985218,58.58994087,8.26802412
0.117748226,0.022803838,0.334115989,0.404400035,0.062361731,0.032364649,0.026205533,-11.79869057,8.696983109
0.246177103,0.021847528,0.169421006,0.436356272,0.10722257,0.01520065,0.003774871,-63.85173721,8.474429311
0.176802946,0.012324461,0.368017854,0.134126388,0.253783267,0.032606163,0.022338921,0.516495352,8.140758007
0.155801306,0.013864742,0.429266688,0.182158175,0.134735198,0.044619621,0.039554272,29.80339552,8.425726206
0.312327118,0.016109903,0.432720803,0.065662209,0.11014232,0.045334023,0.017703625,47.1624813,8.470189086
0.063647848,0.008950792,0.580374668,0.18648233,0.092532262,0.040427541,0.02758456,66.78930447,8.894010935
0.205905343,0.025616751,0.495901013,0.149217775,0.04680422,0.031296743,0.045258155,61.94716061,8.701613606
0.198630537,0.024444016,0.062086113,0.587494347,0.083540565,0.028029721,0.015774702,-95.3660236,8.357178762
0.091894783,0.028610741,0.165163169,0.546975884,0.107206842,0.03215447,0.027994112,-78.24097473,8.397843835
0.052117034,0.015029174,0.068070104,0.724747285,0.076483833,0.032077726,0.031474844,-129.640332,8.439283255
0.050528742,0.013527299,0.244752895,0.461381073,0.193616035,0.028056661,0.008137295,-67.37843198,8.425271036
0.048492714,0.015519237,0.543224396,0.282199039,0.041601644,0.010390484,0.058572487,67.515626,8.945891427
0.112913522,0.002697177,0.68612548,0.040955763,0.077557373,0.056820954,0.022929732,94.63970199,8.970283286
0.693824838,0.030036667,0.130880216,0.095937894,0.02798149,0.013657233,0.007681661,-224.2638935,8.192318667
0.24737736,0.015952118,0.244113741,0.220761223,0.212306795,0.037958976,0.021529787,-32.86201639,8.046897134
0.520309319,0.027837701,0.135176451,0.158611283,0.130221279,0.013127992,0.014715975,-93.25162075,8.027720075
0.092253993,0.016022745,0.345046883,0.312503368,0.196504812,0.02911092,0.008557278,-16.97978455,8.463445607
0.15485776,0.01705369,0.610339408,0.127642221,0.045249991,0.030097926,0.014759003,81.83223148,9.076678564
0.154710106,0.015237893,0.485335837,0.227474204,0.050419595,0.021136965,0.045685401,54.0141149,8.790230903
0.069191842,0.021852751,0.059650311,0.641933684,0.183159224,0.022760602,0.001451586,-172.5497969,8.297523371
0.412464126,0.020086411,0.156049874,0.340392144,0.023760486,0.033868926,0.013378032,81.10590987,8.416387563
0.303680105,0.025902752,0.340058815,0.130894077,0.149316444,0.035622643,0.014525164,19.36857551,8.306982318
0.052693524,0.017162377,0.503376074,0.137521252,0.251326436,0.026218519,0.011701818,34.90378712,8.487293504
0.061873722,0.016570123,0.658981158,0.066212987,0.152966102,0.016374254,0.027021655,91.55687041,8.877441947
0.340046755,0.018559403,0.43624303,0.11325525,0.02374892,0.036845925,0.031300718,74.64164783,8.65264271
0.220441161,0.001317009,0.437418658,0.047598981,0.227126863,0.052231741,0.013865587,21.46683784,8.240842404
0.028030413,0.01230379,0.366399224,0.438949343,0.077466018,0.04315286,0.033698352,-7.31970744,8.706561625
0.05388773,0.027809157,0.277264454,0.546783884,0.057516959,0.03053172,0.006206095,-48.34073625,8.835844074
0.344993785,0.035595485,0.163084375,0.280917172,0.145661639,0.021271836,0.008475708,-55.27307231,8.173973111
0.357797874,0.011656179,0.066981963,0.447579398,0.08623231,0.014552433,0.015199842,-26.89003898,8.277766008
0.289207985,0.011638103,0.534392664,0.037785592,0.045133345,0.054558721,0.027283591,71.63144837,8.704572017
0.464134624,0.022390011,0.302540232,0.075078263,0.063227012,0.045172271,0.027457586,107.3531,8.258509941
0.083158975,0.022860837,0.284851335,0.41317676,0.138922543,0.03179847,0.02523108,-25.47169,8.460622697
0.171697812,0.028858627,0.439527386,0.180348734,0.096431243,0.043966049,0.039170148,39.9666,8.509933498
0.223744039,0.012219722,0.527494894,0.053627052,0.105110068,0.04387579,0.033928434,50.38856,8.584907434
0.200270633,0.012735615,0.169446713,0.478007735,0.097772237,0.025870359,0.015896709,-70.37501,8.451526458
0.069149225,0.024815925,0.398875393,0.293083875,0.159813354,0.039889343,0.014372885,16.77727,8.554859574
0.030328106,0.023376584,0.283583841,0.547625971,0.065279104,0.030246913,0.019559481,-47.94857,8.772320717
0.071185334,0.018785099,0.418480986,0.376560117,0.054795874,0.032597357,0.027595232,21.61942,8.849377003
0.110252919,0.011568327,0.016325549,0.733742307,0.074132839,0.043077504,0.010900555,-146.64508,8.422824113
0.040132876,0.016908781,0.706307056,0.056379448,0.147251688,0.015780339,0.017239813,103.37473,9.024041329
0.35103238,0.02750127,0.205947377,0.280019279,0.107199938,0.024381211,0.003918546,4.61517,8.357276532
